"month","production"
"1","1863"
"2","1614"
"3","2570"
"4","1685"
"5","2101"
"6","1811"
"7","2457"
"8","2171"
"9","2134"
"10","2502"
"11","2358"
"12","2399"
"13","2048"
"14","2523"
"15","2086"
"16","2391"
"17","2150"
"18","2340"
"19","3129"
"20","2277"
"21","2964"
"22","2997"
"23","2747"
"24","2862"
"25","3405"
"26","2677"
"27","2749"
"28","2755"
"29","2963"
"30","3161"
"31","3623"
"32","2768"
"33","3141"
"34","3439"
"35","3601"
"36","3531"
"37","3477"
"38","3376"
"39","4027"
"40","3175"
"41","3274"
"42","3334"
"43","3334"
"44","3649"
"45","3502"
"46","3688"
"47","3657"
"48","4422"
"49","4197"
"50","4441"
"51","4736"
"52","4521"
"53","4485"
"54","4644"
"55","5036"
"56","4876"
"57","4789"
"58","4544"
"59","4975"
"60","5211"
"61","4880"
"62","4933"
"63","5079"
"64","5339"
"65","5232"
"66","5520"
"67","5714"
"68","5260"
"69","6110"
"70","5334"
"71","5988"
"72","6235"
"73","6365"
"74","6266"
"75","6345"
"76","6118"
"77","6497"
"78","6278"
"79","6638"
"80","6590"
"81","6271"
"82","7246"
"83","6584"
"84","6594"
"85","7092"
"86","7326"
"87","7409"
"88","7976"
"89","7959"
"90","8012"
"91","8195"
"92","8008"
"93","8313"
"94","7791"
"95","8368"
"96","8933"
"97","8756"
"98","8613"
"99","8705"
"100","9098"
"101","8769"
"102","9544"
"103","9050"
"104","9186"
"105","10012"
"106","9685"
"107","9966"
"108","10048"
"109","10244"
"110","10740"
"111","10318"
"112","10393"
"113","10986"
"114","10635"
"115","10731"
"116","11749"
"117","11849"
"118","12123"
"119","12274"
"120","11666"
"121","11960"
"122","12629"
"123","12915"
"124","13051"
"125","13387"
"126","13309"
"127","13732"
"128","13162"
"129","13162"
"130","13808"
"131","14101"
"132","13992"
"133","15191"
"134","15018"
"135","14917"
"136","15046"
"137","15556"
"138","15893"
"139","16388"
"140","16782"
"141","16716"
"142","17033"
"143","16896"
"144","17689"
